Sample,Site,Island,Altitude,Layer,Vegetation,Temperature,Moisture,pH,N,C,Salinity,Latitude,Longitude,Date,logTemp,logSal,logN,logMoist,logC,Observed,Shannon,Evenness,PD
C9,ATV trail wet,Axel Heiberg,188,Upper,1,12.5,19.897,5.65,0.225,3.51,4.01,79.414,-90.747,15.07.19,2.7408400239252,1.40609698841607,-1.48722027970985,3.01974172601434,1.2682144063874,2981,7.30946971753655,0.913682105049388,286.2236168275
D1,Colour lake cotton grass,Axel Heiberg,194,Upper,2,12.1,58.257,2.18,0.311,10.761,1.72,79.414,-90.761,15.07.19,2.71469474382088,0.582215619852664,-1.16475209117265,4.0749238619825,2.38005526376094,1204,5.73999725838313,0.809202006812085,228.1460785525
D10,Wolf peak Ridge ketchup,Axel Heiberg,454,Lower,0,9.05,2.668,3.81,0,0.121,0.29,79.422,-90.867,16.07.19,2.48906465993666,-1.02165124753198,-6.90775527898214,1.1808065262941,-1.79878408416502,1171,5.79178311071518,0.819714129923192,95.4950250025
D11,Wolf peak Ridge red,Axel Heiberg,454,Upper,0,9.5,7.773,3.11,0,0.21,0.29,79.422,-90.867,16.07.19,2.52572864430826,-1.02165124753198,-6.90775527898214,2.12369763293437,-1.36845444299156,494,5.10106123460938,0.82241548161615,59.9424621255
D12,Wolf peak Ridge red,Axel Heiberg,454,Lower,0,9.05,11.053,2.38,0.005,3.014,0.43,79.422,-90.867,16.07.19,2.48906465993666,-0.693147180559945,-5.11599580975408,2.45461924884954,1.11792459970048,510,4.61606978760848,0.740417978649711,66.4706012895
D2,Colour lake cotton grass,Axel Heiberg,194,Lower,2,9.8,26.848,2.43,0.117,2.048,1,79.414,-90.761,15.07.19,2.54944517092557,0.0676586484738149,-2.13707065451647,3.31189246743472,0.738359523381493,1825,5.54703806150032,0.738685631283953,367.2390540865
D3,Colour lake runoff lichen moss,Axel Heiberg,194,Upper,1,11,47.211,2.04,0.22,7.221,13.04,79.414,-90.761,15.07.19,2.63905732961526,2.57337529777561,-1.50959257746438,3.86702563949741,1.98313711777861,974,5.31583827850505,0.772492450159347,171.4322676895
D4,Colour lake runoff lichen moss,Axel Heiberg,194,Lower,1,8.75,26.396,2.5,0.065,1.957,0.86,79.414,-90.761,15.07.19,2.46385324059017,-0.0725706928348355,-2.71810053695571,3.29528115607061,0.693896899450491,1374,5.71012706175299,0.790276341204734,206.6535126185
D5,Willow tree,Axel Heiberg,194,Upper,2,10.6,6.38,2.15,0.327,10.199,5.45,79.414,-90.759,15.07.19,2.61006979274201,1.708377860289,-1.11474167059799,1.94147174245638,2.32664335808712,961,5.87609591844116,0.855579180779469,133.7242708775
D6,Willow tree,Axel Heiberg,194,Lower,2,9.1,10.954,2.61,0.169,5.107,0.72,79.414,-90.759,15.07.19,2.4932054526027,-0.23572233352107,-1.77195684193188,2.44607919263278,1.63928793440299,1412,6.0335764239091,0.831900464420377,218.2140895565
